profile	date	url	caption
fatimwdiarra	2020-04-18 16:17:50	https://www.instagram.com/p/B_IO26sh3GH	Ihana tapa vielä iltaa KORONA-aikana! Rakas ystäväni Mimmo kutsui mut @glitternisti bileisiin. Kotiin tuotiin pussi glittereitä ja pensseli. Sitten klo:18.00 saimme teamsin kautta opastuksen glittermeikin tekoon. Nyt sit jatkuu upea ilta skumpan, glitterin ja ihanien ystävien kanssa. Tälläisen illan voi tilata Glitternistiltä! Suosittelen!  Vaikka mitä yritin niin selvää on, että mä oon 1980-luvun kukkanen 🤪
fatimwdiarra	2020-03-28 13:47:45	https://www.instagram.com/p/B-R4_SohY0R	Mikä on teidän #coronalooks ? Mulla on price paita, @kasurinenriina lahjana saadut housut, @uhanadesign villatakki ja äitin tekemät villasukat!
hamidjasmin	2020-08-13 08:06:03	https://www.instagram.com/p/CD0nlX_Dje6	Kaupallinen yhteistyö: @sak_ffc ✨ Olen ollut ammattiliiton jäsen jo opiskeluajoista alkaen. Työurani on nykyajalle tyypillinen; pätkätöitä, epävarmuutta, työttömyysjaksoja ja loputonta vääntöä työsopimuksista. Näissä tilanteissa omasta ammattiliitostani on ollut korvaamaton apu.  ✨  Nyt perhevapaiden taas lähestyessä mietityttää erityisesti nuorten naisten asema työmarkkinoilla. Läheinen ystäväni yritettiin (laittomasti) vaihtaa halvempaan äitiyslomasijaiseen hänen töihinpaluunsa yhteidessä. Vasta ammattiliiton lakimiehen väliintulo ratkaisi tilanteen työntekijän eduksi. ✨  On helppo kuvitella, että ammattiliitot tai etujärjestöt ovat turhia, jos ei itse niistä koe hyötyvänsä. Mutta parhaimmillaan ne ovatkin huomaamattomia! Ammattiliitot mahdollistavat sen, että työntekijät voivat olla neuvotteluissa yhtenä rintamana, eikä yksittäisen työntekijän tarvitse taistella työehtojensa, minimipalkkansa ja oikeuksiensa puolesta. Siksi minulle on aina ollut itsestäänselvyys kuulua liittoon ja työttömyyskassaan. Vain kassan jäsenenä olet oikeutettu ansiosidonnaiseen työttömyysturvaan. P.S. Jäsenmaksun voi vähentää verotuksessa. #varmanpäälle #liityliittoon
hamidjasmin	2020-07-18 14:59:12	https://www.instagram.com/p/CCyaMlxD-uU	Kaupallinen yhteistyö: @clasohlsonsuomi 💦 Lähilomaan ei paljoa tarvitse! Järvi, uimapatja, hyvää seuraa ja kylmälaukku täynnä herkkuja. ☺️👌🏼 Tehtiin mökkinaapureiden kanssa veneretki lähisaareen ja kesä antaa parastaan! ☀️ Clas Ohlsonilta löytyy loistavia piknik-tarpeita kuten maatuvia kertakäyttöastioita, mätsäävät kylmälaukku ja viltti, sekä JBL:n Flip5 -kajari uskomattomalla 12h akunkestolla. 👌🏼#clasohlsonsuomi #lähiloma #tekeekodistaparemman
hamidjasmin	2020-07-12 15:50:22	https://www.instagram.com/p/CCjDSKADZLe	Kaupallinen yhteistyö: @clasohlsonsuomi 🌿 Lomatunnelmaan pääsee helposti myös kotosuomessa. Päivitettiin mökkisaunan ilmettä pellavasta ja puuvillasta valmistetuin hillitynsävyisin laudeliinoin. Kaltaistani kaupunkilaista lämmittää myös, että saunavihdan voi käydä hakemassa Clas Ohlsonilta ympäri vuoden! #clasohlsonsuomi #lähiloma #tekeekodistaparemman #sauna
hamidjasmin	2020-06-29 16:55:07	https://www.instagram.com/p/CCBsXAXD6QV	Kaupallinen yhteistyö: @arlasuomi ✨ Oma tasapainoni muodostuu lopulta aika yksinkertaisista asioista, kuten unesta, laiskottelusta ja riittävästä itsekkyydestä. Listasin blogiini viisi vinkkiäni lapsiperhearjen tasapainottamiseen 💗 Got Guts? -jogurtti sisältää 50 miljardia bifidobakteeria ja kuitua - ja keskittyy sisäiseen hyvinvointiin. ☺️ Tuotteet eivät sisällä lisättyä sokeria tai keinotekoisia makeutusaineita. ♻️ Pirteän turkoosit, kartonkikiertykseen lajiteltavat purkit on helppo bongata kaupan kylmäkaapista. #gotguts #arlasuomi
hamidjasmin	2020-06-12 17:27:11	https://www.instagram.com/p/CBV-hBxDA15	Kaupallinen yhteistyö: Salakis turkkilainen 🌿 Olen simppeli kokkaaja ja rakastan puhtaita makuja. Varsinkin kesällä kun kaikki on tuoretta, ei tarvitse kikkailla liikaa. Lohta, uusia perunoita ja kylmä jogurttikastike - täydellistä! ☺️ Salakiksen turkkilainen jogurtti on täyteläistä, mutta kuitenkin raikasta. Mökkireissuille se on loistava tuote, sillä iso pönikkä kestää pitkään ja sama tuote käy niin kastikkeena, marjapiirakan täytteenä kuin aamupalajuguna. Kun purkki on tyhjä, on se täydellinen mustikkametsään (kuva stooreissa). 🌲 Tällä kertaa laitoin kalan kastikkeeseen jugun lisäksi sitruunaa, pippuria, suolaa ja tilliä. Myös ruohosipuli olisi tähän täydellinen! Yksinkertaista ja herkullista ☺️👌🏼#turkkilainenjogurtti #kaupallinenyhteistyö
hamidjasmin	2020-05-25 17:36:36	https://www.instagram.com/p/CAnpSQqDzVu	Kaupallinen yhteistyö: @freska.fi 🌸 Meillä on tänään käynyt siivooja 🙏🏼 I-HA-NAA! Olin Freskan asiakas jo ennen yhteistyötä, enkä voi kuin kehua. On ihanaa tulla puhtaaseen kotiin ☺️ Tosin tällä kertaa mokattiin ja paistettiin iltapalaksi lettuja - se siitä vastasiivotun kodin raikkaudesta!😄 Koodilla JASMINHAMID saat 25€ alennusta ekasta siivouksestasi #freska #eloisatmedia
hamidjasmin	2020-05-20 17:38:07	https://www.instagram.com/p/CAaxe83jri5	Kaupallinen yhteistyö @rawmixblenders 🌱 Täällä on pari viikkoa testailtu Rawmixiä, ja innostuttu kokkailusta ihan uudella tavalla! ☺️ Tänään pyöräytettiin itse pestoa ja vaikka pinjansiemeniä ei löytynytkään, menivät cashewpähkinät hetkessä murskaksi kolmen hevosvoiman avulla. 👌🏼 Laitearvostelu nyt blogissa ja siellä myös ”hassunhauska” tarina siitä, missä muussa tapuksessa ne kolme hevosvoimaa eivät todellakaan ole tarpeeksi! 😬 Koodilla #hyvapaivanvaralle saat 5% alennusta Rawmix-blenderistä. #rawmix #rawmixblenders 👉🏼 hyvanpaivanvaralle.fi
hamidjasmin	2020-05-14 17:43:39	https://www.instagram.com/p/CALVWLQDmtz	Kaupallinen yhteistyö @efvaattlingofficial ✨ Käytän aika vähän koruja mutta nämä ajattomat Efva Attlingin hopeakorut sopivat mulle täydellisesti. Ne kestävät aikaa ja ovat ihanan yksinkertaisia. Tämän korumallin nimi on Love Knot 💗 Koodilla JASMIN20 saat 20 prosentin alennuksen hopeakoruista (poislukien ne, jotka on merkitty "for a good cause"). Linkki biossa ja stooreissa 🌸 #efvaattling 🌸https://bit.ly/2xBawsy
